plz,AGS
33699,05711000
33181,05774040
32760,05766020
52156,05334020
52222,05334032
41068,05116000
47239,05112000
47259,05112000
41466,05162024
50933,05315000
46242,05512000
51373,05316000
42553,05158032
45881,05513000
58739,05974056
59071,05915000
59514,05974048
33334,05754008
51467,05378004
51427,05378004
53129,05314000
51503,05378028
45525,05954016
53773,05382020
58644,05962024
58135,05914000
58706,05962040
51147,05315000
45307,05113000
42115,05124000
44807,05911000
44799,05911000
48493,05566096
44799,05911000
58300,05954032
53783,05382016
48432,05566076
32289,05758028
59964,05958028
52538,05370008
47623,05154032
47625,05154032
53940,05366020
52445,05358056
52385,05358044
47445,05170024
40670,05162022
47059,05112000
47119,05112000
40225,05111000
41541,05162004
45133,05113000
45144,05113000
50678,05315000
59556,05974028
33649,05711000
33613,05711000
44263,05913000
58540,05962036
59065,05915000
57482,05966028
51469,05378004
42111,05124000
42119,05124000
53639,05382024
42287,05124000
58256,05954008
41749,05166032
41065,05116000
41363,05162012
47802,05114000
47809,05114000
47057,05112000
46049,05119000
45473,05117000
50735,05315000
45355,05113000
42697,05122000
51061,05315000
51109,05315000
57258,05970016
57299,05970008
57080,05970040
57368,05966020
33617,05711000
59969,05958020
32427,05770024
32683,05766012
44577,05562004
51766,05374008
48432,05566076
44369,05913000
48431,05566076
45891,05513000
53844,05382068
53111,05314000
45549,05954028
45665,05562032
45711,05562008
44147,05913000
47559,05154040
52146,05334036
41836,05370020
52152,05334028
52459,05358020
41239,05116000
52399,05358040
40549,05111000
47249,05112000
47138,05112000
47279,05112000
40589,05111000
50829,05315000
50321,05362012
42579,05158012
50389,05362040
51143,05315000
48619,05554024
45139,05113000
48143,05515000
58636,05962024
